InvoiceNo,CustomerID,Product,Quantity,UnitPrice,TotalPrice,InvoiceDate,Location,CustomerType
ORD10041,CUST1214,Sanitary Towels (Pack),1,224.75,224.75,3/11/2023,Ruaka,Regular
ORD10042,CUST1112,Eggs (Tray),1,295.42,295.42,1/16/2023,Rongai,Premium
ORD10043,CUST1172,Bread (400g),1,67.71,67.71,4/18/2023,Rongai,Budget
ORD10044,CUST1065,Soap (Bar),1,42.72,42.72,4/27/2023,Ruiru,Budget
ORD10045,CUST1288,Maize Flour (2kg),1,131.29,131.29,11/23/2023,Nairobi,Budget
ORD10046,CUST1093,Maize Flour (2kg),1,142.39,142.39,2/11/2023,Nairobi,Budget
ORD10047,CUST1167,Milk (500ml),0,57.99,0,2/18/2023,Ruiru,Budget
ORD10048,CUST1215,Tea Leaves (250g),1,78.8,78.8,4/27/2023,Ruaka,Budget
ORD10049,CUST1179,Sugar (1kg),1,125.48,125.48,4/10/2023,Rongai,Budget
ORD10050,CUST1020,Maize Flour (2kg),1,176.98,176.98,1/26/2023,Roysambu,Regular
ORD10051,CUST1078,Sugar (1kg),1,108.98,108.98,7/21/2023,Nairobi,Budget
ORD10052,CUST1238,Tea Leaves (250g),1,73.01,73.01,1/22/2023,Kitengela,Regular
ORD10053,CUST1058,Cooking Oil (1L),1,311.3,311.3,1/14/2023,Nairobi,Budget
ORD10054,CUST1159,Soap (Bar),1,43.55,43.55,2/18/2023,Nairobi,Regular
ORD10055,CUST1101,Rice (1kg),1,121.45,121.45,4/17/2023,Ruiru,Regular
ORD10056,CUST1052,Tea Leaves (250g),0,71.73,0,1/26/2023,Nairobi,Premium
ORD10057,CUST1289,Maize Flour (2kg),1,147.87,147.87,2/24/2023,Nairobi,Budget
ORD10058,CUST1035,Sanitary Towels (Pack),1,214.75,214.75,1/2/2023,Kitengela,Regular
ORD10059,CUST1250,Rice (1kg),1,115.86,115.86,2/16/2023,Nairobi,Budget
ORD10060,CUST1235,Cooking Oil (1L),1,243.55,243.55,4/4/2023,Thika,Regular
ORD10061,CUST1138,Soap (Bar),1,48.47,48.47,3/10/2023,Ruiru,Budget
ORD10062,CUST1238,Bread (400g),1,66.51,66.51,3/17/2023,Kitengela,Regular
ORD10063,CUST1125,Rice (1kg),1,104.5,104.5,2/27/2023,Nairobi,Budget
ORD10064,CUST1237,Soap (Bar),1,44.32,44.32,2/18/2023,Nairobi,Budget
ORD10065,CUST1253,Milk (500ml),1,45.82,45.82,1/28/2023,Rongai,Budget
ORD10066,CUST1132,Milk (500ml),1,47.87,47.87,3/18/2023,Roysambu,Budget
ORD10067,CUST1141,Sanitary Towels (Pack),1,158.57,158.57,10/26/2023,Rongai,Budget
ORD10068,CUST1250,Sanitary Towels (Pack),1,237.11,237.11,3/30/2023,Nairobi,Budget
ORD10069,CUST1251,Eggs (Tray),1,356.63,356.63,1/12/2023,Ruiru,Budget
ORD10070,CUST1207,Sugar (1kg),1,109.19,109.19,3/16/2023,Thika,Regular
ORD10071,CUST1283,Sanitary Towels (Pack),0,193.59,0,4/6/2023,Nairobi,Budget
ORD10072,CUST1180,Eggs (Tray),1,329.22,329.22,2/2/2023,Ruiru,Budget
ORD10073,CUST1098,Milk (500ml),1,44.51,44.51,3/10/2023,Ruaka,Budget
ORD10074,CUST1094,Sugar (1kg),1,106.49,106.49,3/3/2023,Thika,Regular
ORD10075,CUST1268,Soap (Bar),1,37.44,37.44,1/13/2023,Ruiru,Budget
ORD10076,CUST1151,Sugar (1kg),1,116.37,116.37,12/30/2023,Kitengela,Budget
ORD10077,CUST1064,Tea Leaves (250g),0,53.93,0,1/7/2023,Roysambu,Budget
ORD10078,CUST1064,Eggs (Tray),1,320.39,320.39,1/2/2023,Roysambu,Budget
ORD10079,CUST1240,Eggs (Tray),1,305.92,305.92,1/31/2023,Nairobi,Premium
ORD10080,CUST1244,Rice (1kg),1,144.43,144.43,2/21/2023,Nairobi,Budget
ORD10081,CUST1295,Maize Flour (2kg),1,135.56,135.56,4/14/2023,Kitengela,Budget
ORD10082,CUST1155,Rice (1kg),1,157.05,157.05,1/16/2023,Nairobi,Budget
ORD10083,CUST1213,Soap (Bar),1,44.02,44.02,3/21/2023,Nairobi,Budget
ORD10084,CUST1267,Bread (400g),1,59.01,59.01,2/26/2023,Ruaka,Regular
ORD10085,CUST1219,Tea Leaves (250g),1,67.06,67.06,1/8/2023,Nairobi,Regular
ORD10086,CUST1050,Sugar (1kg),1,112.83,112.83,1/22/2023,Nairobi,Premium
ORD10087,CUST1122,Cooking Oil (1L),1,267.96,267.96,11/17/2023,Ruiru,Budget
ORD10088,CUST1240,Tea Leaves (250g),1,48.43,48.43,1/23/2023,Nairobi,Premium
ORD10089,CUST1232,Rice (1kg),1,134.52,134.52,4/29/2023,Kitengela,Budget
ORD10090,CUST1101,Bread (400g),1,52.3,52.3,1/29/2023,Ruiru,Regular
ORD10091,CUST1136,Cooking Oil (1L),1,217.5,217.5,1/22/2023,Thika,Budget
ORD10092,CUST1291,Tea Leaves (250g),1,66.33,66.33,3/1/2023,Ruiru,Budget
ORD10093,CUST1206,Tea Leaves (250g),1,68.26,68.26,3/5/2023,Nairobi,Budget
ORD10094,CUST1020,Bread (400g),1,64.69,64.69,3/19/2023,Roysambu,Regular
ORD10095,CUST1046,Sugar (1kg),1,135.3,135.3,4/18/2023,Thika,Budget
ORD10096,CUST1010,Tea Leaves (250g),1,70.65,70.65,4/8/2023,Nairobi,Budget
ORD10097,CUST1240,Sanitary Towels (Pack),1,204.39,204.39,1/9/2023,Nairobi,Premium
ORD10098,CUST1299,Bread (400g),1,65.83,65.83,3/4/2023,Roysambu,Budget
ORD10099,CUST1240,Milk (500ml),1,45.76,45.76,1/22/2023,Nairobi,Premium
ORD10100,CUST1082,Milk (500ml),1,50.64,50.64,3/5/2023,Kitengela,Budget
ORD10101,CUST1205,Sanitary Towels (Pack),1,161.35,161.35,1/12/2023,Nairobi,Budget
ORD10102,CUST1165,Rice (1kg),1,147.91,147.91,2/21/2023,Thika,Regular
ORD10103,CUST1000,Sanitary Towels (Pack),1,206.01,206.01,10/3/2023,Kitengela,Budget
ORD10104,CUST1255,Eggs (Tray),1,354.9,354.9,1/27/2023,Ruaka,Budget
ORD10105,CUST1067,Tea Leaves (250g),1,63.14,63.14,3/31/2023,Thika,Regular
ORD10106,CUST1014,Soap (Bar),1,48.29,48.29,4/8/2023,Kitengela,Budget
ORD10107,CUST1282,Bread (400g),0,54.46,0,4/18/2023,Kitengela,Budget
ORD10108,CUST1236,Rice (1kg),1,131.61,131.61,1/20/2023,Roysambu,Budget
ORD10109,CUST1149,Sanitary Towels (Pack),1,231.57,231.57,2/23/2023,Nairobi,Budget
ORD10110,CUST1241,Sugar (1kg),1,108.02,108.02,1/13/2023,Kitengela,Premium
ORD10111,CUST1260,Cooking Oil (1L),1,286.4,286.4,2/5/2023,Roysambu,Regular
ORD10112,CUST1212,Milk (500ml),1,58.68,58.68,3/6/2023,Rongai,Regular
ORD10113,CUST1001,Tea Leaves (250g),1,68.19,68.19,1/19/2023,Thika,Premium
ORD10114,CUST1250,Cooking Oil (1L),1,256.89,256.89,3/3/2023,Nairobi,Budget
ORD10115,CUST1282,Sanitary Towels (Pack),1,197.11,197.11,4/30/2023,Kitengela,Budget
ORD10116,CUST1096,Sugar (1kg),1,123.01,123.01,1/30/2023,Ruaka,Budget
ORD10117,CUST1210,Maize Flour (2kg),1,146.05,146.05,3/2/2023,Nairobi,Budget
ORD10118,CUST1195,Bread (400g),1,73.26,73.26,4/12/2023,Roysambu,Budget
ORD10119,CUST1077,Eggs (Tray),1,365.65,365.65,1/17/2023,Rongai,Budget
ORD10120,CUST1169,Rice (1kg),1,148.25,148.25,11/20/2023,Thika,Budget
ORD10121,CUST1007,Cooking Oil (1L),1,241,241,3/25/2023,Thika,Regular
ORD10122,CUST1038,Eggs (Tray),1,339.08,339.08,2/3/2023,Roysambu,Regular
ORD10123,CUST1203,Rice (1kg),1,139.62,139.62,4/20/2023,Nairobi,Regular
ORD10124,CUST1273,Bread (400g),5,65.63,328.15,1/23/2023,Umoja,Premium
ORD10125,CUST1277,Maize Flour (2kg),1,157.05,157.05,1/31/2023,Kitengela,Regular
ORD10126,CUST1147,Sugar (1kg),1,128.52,128.52,2/25/2023,Ruiru,Budget
ORD10127,CUST1051,Eggs (Tray),1,308.32,308.32,2/8/2023,Nairobi,Regular
ORD10128,CUST1023,Milk (500ml),1,58.72,58.72,2/7/2023,Nairobi,Budget
ORD10129,CUST1220,Cooking Oil (1L),1,224.42,224.42,2/22/2023,Ruaka,Regular
ORD10130,CUST1092,Cooking Oil (1L),1,217.51,217.51,3/20/2023,Ruiru,Regular
ORD10131,CUST1123,Eggs (Tray),1,362.92,362.92,1/19/2023,Rongai,Budget
ORD10132,CUST1130,Eggs (Tray),1,328.4,328.4,1/2/2023,Nairobi,Budget
ORD10133,CUST1238,Tea Leaves (250g),1,70.33,70.33,9/24/2023,Kitengela,Regular
ORD10134,CUST1153,Bread (400g),1,67,67,2/28/2023,Rongai,Budget
ORD10135,CUST1101,Bread (400g),1,67.07,67.07,1/14/2023,Ruiru,Regular
ORD10136,CUST1292,Milk (500ml),1,51.5,51.5,3/31/2023,Kitengela,Regular
ORD10137,CUST1202,Tea Leaves (250g),1,52.76,52.76,4/21/2023,Roysambu,Budget
ORD10138,CUST1025,Soap (Bar),1,44.9,44.9,4/17/2023,Nairobi,Regular
ORD10139,CUST1146,Sugar (1kg),1,118.21,118.21,2/15/2023,Rongai,Regular
ORD10140,CUST1097,Soap (Bar),1,36.76,36.76,4/7/2023,Rongai,Budget
ORD10141,CUST1070,Rice (1kg),1,143.24,143.24,11/12/2023,Nairobi,Regular
ORD10142,CUST1017,Soap (Bar),1,39.16,39.16,8/30/2023,Kitengela,Budget
ORD10143,CUST1167,Bread (400g),1,56.19,56.19,1/17/2023,Ruiru,Budget
ORD10144,CUST1187,Sanitary Towels (Pack),1,210.19,210.19,2/4/2023,Nairobi,Budget
ORD10145,CUST1131,Eggs (Tray),1,365.79,365.79,2/7/2023,Thika,Budget
ORD10146,CUST1173,Rice (1kg),1,118.42,118.42,7/25/2023,Ruiru,Budget
ORD10147,CUST1203,Sanitary Towels (Pack),1,186.58,186.58,4/12/2023,Nairobi,Regular
ORD10148,CUST1135,Sanitary Towels (Pack),1,170.48,170.48,2/17/2023,Rongai,Budget
ORD10149,CUST1134,Soap (Bar),1,35.74,35.74,1/31/2023,Thika,Premium
ORD10150,CUST1119,Eggs (Tray),1,316.31,316.31,4/24/2023,Nairobi,Budget
ORD10151,CUST1167,Soap (Bar),1,36.15,36.15,1/9/2023,Ruiru,Budget
ORD10152,CUST1237,Tea Leaves (250g),1,72.95,72.95,4/20/2023,Nairobi,Budget
ORD10153,CUST1155,Eggs (Tray),1,321.1,321.1,1/31/2023,Nairobi,Budget
ORD10154,CUST1069,Bread (400g),5,56.12,280.6,1/31/2023,Nairobi,Premium
ORD10155,CUST1079,Bread (400g),1,66.25,66.25,4/17/2023,Nairobi,Budget
ORD10156,CUST1208,Tea Leaves (250g),0,53.53,0,2/17/2023,Nairobi,Budget
ORD10157,CUST1227,Sugar (1kg),1,131.95,131.95,1/13/2023,Roysambu,Budget
ORD10158,CUST1188,Sanitary Towels (Pack),1,252.18,252.18,3/24/2023,Nairobi,Budget
ORD10159,CUST1203,Tea Leaves (250g),1,55.69,55.69,1/16/2023,Nairobi,Regular
ORD10160,CUST1232,Rice (1kg),1,132.71,132.71,3/24/2023,Kitengela,Budget
ORD10161,CUST1010,Maize Flour (2kg),1,175.57,175.57,2/1/2023,Nairobi,Budget
ORD10162,CUST1289,Sugar (1kg),1,107.16,107.16,4/8/2023,Nairobi,Budget
ORD10163,CUST1110,Sugar (1kg),1,115.35,115.35,1/19/2023,Roysambu,Budget
ORD10164,CUST1001,Tea Leaves (250g),1,71.96,71.96,1/5/2023,Thika,Premium
ORD10165,CUST1089,Rice (1kg),1,132.59,132.59,10/1/2023,Thika,Budget
ORD10166,CUST1121,Soap (Bar),1,36.48,36.48,1/23/2023,Rongai,Regular
ORD10167,CUST1064,Bread (400g),1,63.55,63.55,11/16/2023,Roysambu,Budget
ORD10168,CUST1185,Sanitary Towels (Pack),1,209.37,209.37,2/27/2023,Nairobi,Regular
ORD10169,CUST1022,Sanitary Towels (Pack),1,189.17,189.17,3/24/2023,Nairobi,Budget
ORD10170,CUST1031,Eggs (Tray),0,359.48,0,2/24/2023,Ruiru,Budget
ORD10171,CUST1251,Eggs (Tray),1,318.86,318.86,1/11/2023,Ruiru,Budget
ORD10172,CUST1075,Rice (1kg),0,88.83,0,3/21/2023,Nairobi,Regular
ORD10173,CUST1280,Milk (500ml),1,47.62,47.62,3/18/2023,Ruiru,Regular
ORD10174,CUST1232,Sanitary Towels (Pack),1,221.07,221.07,1/13/2023,Kitengela,Budget
ORD10175,CUST1058,Sanitary Towels (Pack),1,233.19,233.19,1/28/2023,Nairobi,Budget
ORD10176,CUST1116,Bread (400g),1,56.78,56.78,2/28/2023,Nairobi,Regular
ORD10177,CUST1048,Milk (500ml),1,50.96,50.96,3/27/2023,Kitengela,Budget
ORD10178,CUST1078,Eggs (Tray),1,318.52,318.52,11/8/2023,Nairobi,Budget
ORD10179,CUST1049,Milk (500ml),1,59.05,59.05,9/16/2023,Nairobi,Budget
ORD10180,CUST1062,Bread (400g),1,57.07,57.07,3/27/2023,Kitengela,Regular
ORD10181,CUST1216,Maize Flour (2kg),1,187.01,187.01,3/18/2023,Kitengela,Budget
ORD10182,CUST1053,Soap (Bar),1,40.15,40.15,1/20/2023,Umoja,Regular
ORD10183,CUST1114,Rice (1kg),1,104.51,104.51,3/13/2023,Umoja,Regular
ORD10184,CUST1142,Soap (Bar),1,36.25,36.25,2/24/2023,Nairobi,Budget
ORD10185,CUST1285,Maize Flour (2kg),1,164.37,164.37,3/26/2023,Umoja,Budget
ORD10186,CUST1136,Maize Flour (2kg),0,137.37,0,3/31/2023,Thika,Budget
ORD10187,CUST1173,Milk (500ml),1,42.13,42.13,10/23/2023,Ruiru,Budget
ORD10188,CUST1035,Cooking Oil (1L),1,274.1,274.1,12/28/2023,Kitengela,Regular
ORD10189,CUST1110,Bread (400g),1,61.32,61.32,9/7/2023,Roysambu,Budget
ORD10190,CUST1166,Soap (Bar),1,44.02,44.02,6/20/2023,Nairobi,Budget
ORD10191,CUST1025,Rice (1kg),1,99.05,99.05,3/26/2023,Nairobi,Regular
ORD10192,CUST1226,Bread (400g),1,52.69,52.69,1/17/2023,Rongai,Premium
ORD10193,CUST1220,Rice (1kg),1,99.83,99.83,3/28/2023,Ruaka,Regular
ORD10194,CUST1269,Tea Leaves (250g),1,53.93,53.93,2/20/2023,Thika,Budget
ORD10195,CUST1028,Maize Flour (2kg),1,138.88,138.88,1/28/2023,Roysambu,Budget
ORD10196,CUST1130,Tea Leaves (250g),1,62.84,62.84,1/1/2023,Nairobi,Budget
ORD10197,CUST1220,Cooking Oil (1L),1,212.92,212.92,3/10/2023,Ruaka,Regular
ORD10198,CUST1256,Sanitary Towels (Pack),1,221.67,221.67,1/12/2023,Thika,Premium
ORD10199,CUST1021,Bread (400g),1,52.89,52.89,9/8/2023,Ruiru,Budget
ORD10200,CUST1294,Bread (400g),1,64.54,64.54,4/1/2023,Ruiru,Budget
ORD10201,CUST1148,Rice (1kg),1,113.77,113.77,11/22/2023,Nairobi,Budget
ORD10202,CUST1185,Rice (1kg),1,110.57,110.57,1/14/2023,Nairobi,Regular
ORD10203,CUST1205,Sanitary Towels (Pack),1,165.76,165.76,4/22/2023,Nairobi,Budget
ORD10204,CUST1173,Sugar (1kg),1,115.49,115.49,5/29/2023,Ruiru,Budget
ORD10205,CUST1271,Sanitary Towels (Pack),1,169.39,169.39,4/10/2023,Nairobi,Regular
ORD10206,CUST1075,Sugar (1kg),1,103.08,103.08,6/18/2023,Nairobi,Regular
ORD10207,CUST1038,Cooking Oil (1L),1,295.13,295.13,3/22/2023,Roysambu,Regular
ORD10208,CUST1288,Soap (Bar),1,40.93,40.93,4/29/2023,Nairobi,Budget
ORD10209,CUST1165,Milk (500ml),1,43.02,43.02,1/9/2023,Thika,Regular
ORD10210,CUST1155,Tea Leaves (250g),1,71.13,71.13,2/15/2023,Nairobi,Budget
ORD10211,CUST1158,Eggs (Tray),1,338.73,338.73,1/8/2023,Nairobi,Budget
ORD10212,CUST1146,Rice (1kg),1,125.13,125.13,12/16/2023,Rongai,Regular
ORD10213,CUST1196,Eggs (Tray),1,329.02,329.02,4/12/2023,Kitengela,Regular
ORD10214,CUST1021,Eggs (Tray),0,362.73,0,3/15/2023,Ruiru,Budget
ORD10215,CUST1164,Soap (Bar),0,41.49,0,1/20/2023,Roysambu,Budget
ORD10216,CUST1230,Rice (1kg),1,136.77,136.77,4/18/2023,Thika,Regular
ORD10217,CUST1043,Sanitary Towels (Pack),5,203.88,1019.4,1/8/2023,Nairobi,Premium
ORD10218,CUST1268,Sanitary Towels (Pack),1,221.53,221.53,2/16/2023,Ruiru,Budget
ORD10219,CUST1144,Bread (400g),1,61.08,61.08,2/13/2023,Nairobi,Budget
ORD10220,CUST1026,Milk (500ml),1,43.38,43.38,1/13/2023,Thika,Budget
ORD10221,CUST1197,Tea Leaves (250g),1,57.56,57.56,4/20/2023,Thika,Regular
ORD10222,CUST1076,Milk (500ml),1,41.63,41.63,9/27/2023,Umoja,Regular
ORD10223,CUST1158,Bread (400g),1,55.21,55.21,4/1/2023,Nairobi,Budget
ORD10224,CUST1158,Sanitary Towels (Pack),1,197.05,197.05,4/12/2023,Nairobi,Budget
ORD10225,CUST1065,Sanitary Towels (Pack),1,167.31,167.31,3/27/2023,Ruiru,Budget
ORD10226,CUST1185,Maize Flour (2kg),1,141.76,141.76,1/24/2023,Nairobi,Regular
ORD10227,CUST1174,Eggs (Tray),1,309.6,309.6,8/30/2023,Roysambu,Regular
ORD10228,CUST1051,Sanitary Towels (Pack),1,227.09,227.09,4/17/2023,Nairobi,Regular
ORD10229,CUST1269,Maize Flour (2kg),1,167.7,167.7,4/23/2023,Thika,Budget
ORD10230,CUST1067,Soap (Bar),1,37.53,37.53,6/24/2023,Thika,Regular
ORD10231,CUST1224,Maize Flour (2kg),1,151.88,151.88,3/28/2023,Thika,Budget
ORD10232,CUST1227,Soap (Bar),1,37.48,37.48,4/6/2023,Roysambu,Budget
ORD10233,CUST1119,Sanitary Towels (Pack),1,182.61,182.61,4/14/2023,Nairobi,Budget
ORD10234,CUST1099,Milk (500ml),1,56.24,56.24,3/15/2023,Roysambu,Budget
ORD10235,CUST1236,Tea Leaves (250g),1,77.01,77.01,3/6/2023,Roysambu,Budget
ORD10236,CUST1082,Sugar (1kg),1,130.24,130.24,1/18/2023,Kitengela,Budget
ORD10237,CUST1026,Eggs (Tray),1,360.89,360.89,3/12/2023,Thika,Budget
ORD10238,CUST1264,Rice (1kg),1,99.95,99.95,11/17/2023,Roysambu,Regular
ORD10239,CUST1262,Cooking Oil (1L),1,297.26,297.26,1/12/2023,Nairobi,Budget
ORD10240,CUST1113,Eggs (Tray),1,344.23,344.23,4/28/2023,Nairobi,Regular
ORD10241,CUST1202,Sanitary Towels (Pack),1,196.77,196.77,2/19/2023,Roysambu,Budget
ORD10242,CUST1191,Sugar (1kg),1,100.85,100.85,9/19/2023,Nairobi,Regular
ORD10243,CUST1074,Cooking Oil (1L),1,203.83,203.83,4/28/2023,Ruiru,Regular
ORD10244,CUST1071,Eggs (Tray),1,338.55,338.55,1/1/2023,Umoja,Budget
ORD10245,CUST1009,Tea Leaves (250g),1,56.47,56.47,1/20/2023,Thika,Regular
ORD10246,CUST1270,Bread (400g),1,52.22,52.22,2/6/2023,Roysambu,Regular
ORD10247,CUST1062,Maize Flour (2kg),1,134.31,134.31,3/23/2023,Kitengela,Regular
ORD10248,CUST1234,Rice (1kg),1,92.15,92.15,4/26/2023,Nairobi,Budget
ORD10249,CUST1274,Maize Flour (2kg),1,165.81,165.81,3/15/2023,Thika,Budget
ORD10250,CUST1073,Tea Leaves (250g),1,62.88,62.88,3/20/2023,Nairobi,Regular
ORD10251,CUST1292,Bread (400g),1,53.75,53.75,10/2/2023,Kitengela,Regular
ORD10252,CUST1034,Sanitary Towels (Pack),1,194.19,194.19,1/17/2023,Nairobi,Premium
ORD10253,CUST1199,Eggs (Tray),1,302.18,302.18,2/19/2023,Roysambu,Regular
ORD10254,CUST1129,Maize Flour (2kg),1,148.5,148.5,1/9/2023,Roysambu,Budget
ORD10255,CUST1053,Soap (Bar),1,44.7,44.7,9/28/2023,Umoja,Regular
ORD10256,CUST1279,Milk (500ml),1,56.27,56.27,1/23/2023,Kitengela,Regular
ORD10257,CUST1237,Eggs (Tray),0,348.17,0,11/21/2023,Nairobi,Budget
ORD10258,CUST1018,Tea Leaves (250g),1,58.85,58.85,4/22/2023,Roysambu,Budget
ORD10259,CUST1161,Tea Leaves (250g),1,65.46,65.46,4/15/2023,Kitengela,Regular
ORD10260,CUST1129,Maize Flour (2kg),1,173.46,173.46,1/25/2023,Roysambu,Budget
ORD10261,CUST1024,Milk (500ml),1,47.74,47.74,4/13/2023,Ruaka,Budget
ORD10262,CUST1204,Eggs (Tray),1,344.73,344.73,2/19/2023,Rongai,Regular
ORD10263,CUST1095,Eggs (Tray),0,351.33,0,2/17/2023,Nairobi,Budget
ORD10264,CUST1265,Tea Leaves (250g),1,74.03,74.03,4/4/2023,Ruiru,Regular
ORD10265,CUST1220,Soap (Bar),1,49.9,49.9,1/24/2023,Ruaka,Regular
ORD10266,CUST1164,Rice (1kg),1,89.89,89.89,3/26/2023,Roysambu,Budget
ORD10267,CUST1228,Soap (Bar),1,44.35,44.35,1/22/2023,Nairobi,Regular
ORD10268,CUST1179,Eggs (Tray),1,317.22,317.22,4/22/2023,Rongai,Budget
ORD10269,CUST1222,Tea Leaves (250g),1,72.64,72.64,4/12/2023,Rongai,Budget
ORD10270,CUST1038,Bread (400g),1,57.27,57.27,4/13/2023,Roysambu,Regular
ORD10271,CUST1081,Maize Flour (2kg),1,128.57,128.57,3/19/2023,Nairobi,Regular
ORD10272,CUST1224,Maize Flour (2kg),1,133.95,133.95,1/31/2023,Thika,Budget
ORD10273,CUST1187,Milk (500ml),1,50.04,50.04,6/18/2023,Nairobi,Budget
ORD10274,CUST1230,Milk (500ml),1,47.44,47.44,6/10/2023,Thika,Regular
ORD10275,CUST1271,Milk (500ml),1,47.96,47.96,3/25/2023,Nairobi,Regular
ORD10276,CUST1058,Maize Flour (2kg),1,172.35,172.35,3/5/2023,Nairobi,Budget
ORD10277,CUST1287,Rice (1kg),1,103.24,103.24,2/3/2023,Thika,Budget
ORD10278,CUST1109,Soap (Bar),1,37.5,37.5,4/28/2023,Ruaka,Budget
ORD10279,CUST1102,Rice (1kg),1,93.98,93.98,1/10/2023,Ruiru,Budget
ORD10280,CUST1227,Rice (1kg),1,143.57,143.57,4/19/2023,Roysambu,Budget
ORD10281,CUST1177,Rice (1kg),1,124.42,124.42,2/7/2023,Nairobi,Budget
ORD10282,CUST1080,Cooking Oil (1L),1,279.37,279.37,3/7/2023,Kitengela,Regular
ORD10283,CUST1102,Cooking Oil (1L),1,234.86,234.86,10/6/2023,Ruiru,Budget
ORD10284,CUST1239,Sanitary Towels (Pack),1,171.13,171.13,9/6/2023,Kitengela,Budget
ORD10285,CUST1203,Eggs (Tray),1,326.28,326.28,4/9/2023,Nairobi,Regular
ORD10286,CUST1294,Rice (1kg),1,93.21,93.21,2/10/2023,Ruiru,Budget
ORD10287,CUST1230,Eggs (Tray),1,334.01,334.01,7/3/2023,Thika,Regular
ORD10288,CUST1066,Bread (400g),1,63.06,63.06,6/3/2023,Nairobi,Budget
